#{"t_start": 1744811708.0384393, "env_id": "footsteps-planning-any-obstacle-multigoal-v0"}
r,l,t
-116.917536,90,3.057015
-119.440528,90,3.11568
-115.79277,90,3.17025
-117.19123,90,3.220664
-110.827544,90,3.287216
-135.170858,90,3.337821
-107.045029,90,3.388725
-96.670177,90,3.43945
-103.781142,90,3.497086
-109.959389,90,3.547626
-121.514153,90,3.598267
-128.802502,90,3.648521
-111.551811,90,3.709886
-126.046151,90,3.760709
-113.349568,90,3.811052
-114.482588,90,3.861405
-133.411768,90,3.923328
-289.614106,90,3.974685
-136.39302,90,4.025663
-109.965968,90,4.076069
-105.776624,90,4.137046
-110.626068,90,4.187894
-127.888673,90,4.238246
-117.926553,90,4.288866
-109.570952,90,4.348083
-136.586164,90,4.398782
-103.482249,90,4.449827
-135.357939,90,4.500219
-130.396471,90,4.559575
-124.337465,90,4.609897
-112.100278,90,4.660219
-132.308823,90,4.710416
-98.191401,90,4.770488
-112.830371,90,4.821183
-144.69449,90,4.87159
-116.062616,90,4.921946
-122.301853,90,4.979251
-162.383807,90,5.029749
-103.508428,90,5.080687
-119.416299,90,5.131496
-125.675317,90,5.188929
-107.127586,90,5.23934
-115.392515,90,5.290912
-111.090366,90,5.341299
-131.272672,90,5.398809
-134.21594,90,5.44939
-109.504795,90,5.499829
-119.863459,90,5.550235
-118.347043,90,5.608097
-113.810629,90,5.658655
-120.516625,90,5.709227
-112.004489,90,5.759722
-107.862241,90,5.81828
-141.836121,90,5.86895
-102.085388,90,5.919551
-241.91842,90,5.969931
-132.590553,90,6.028682
-118.068822,90,6.079165
-98.885273,90,6.129866
-114.870853,90,6.180361
-101.802152,90,6.239344
-102.051841,90,6.289834
-125.180715,90,6.340778
-138.403233,90,6.391293
-121.141581,90,6.449859
-111.671504,90,6.500357
-107.392698,90,6.550599
-107.730715,90,6.601119
-103.591942,90,6.660654
-110.584794,90,6.711093
-119.11772,90,6.761333
-115.594639,90,6.811611
-116.343454,90,6.870888
-131.712232,90,6.921262
-119.734616,90,6.972177
-121.409271,90,7.022754
-119.105162,90,7.08172
-115.89644,90,7.132258
-117.238918,90,7.1826
-108.847179,90,7.232815
-125.087135,90,7.29151
-104.566305,90,7.342188
-111.857138,90,7.392498
-317.454334,90,7.44268
-117.015077,90,7.502465
-115.21844,90,7.552774
-120.231435,90,7.603461
-113.621349,90,7.653635
-123.334845,90,7.711915
-112.342973,90,7.762307
-137.105347,90,7.812592
-113.278071,90,7.862915
-734.028248,90,7.920775
-115.483754,90,7.971409
-104.959016,90,8.021759
-119.13137,90,8.072383
-119.828832,90,8.132195
-108.158318,90,8.18279
-118.764686,90,8.233129
-104.677366,90,8.283852
-103.193571,90,8.34386
-102.624252,90,8.39453
-110.509589,90,8.450906
-100.15373,90,8.501629
-105.44446,90,8.560767
-123.423554,90,8.611289
-107.171974,90,8.661654
-110.023233,90,8.712303
-104.379658,90,8.771405
-104.470305,90,8.822043
-117.863919,90,8.872372
-109.55408,90,9.107735
-114.29795,90,10.936167
-114.577036,90,12.020205
-107.614837,90,12.881037
-115.394207,90,13.540394
-128.103693,90,14.447221
-110.274319,90,15.462343
-131.141286,90,16.476682
-101.101424,90,17.452579
-117.191711,90,18.130232
-98.884346,90,18.749521
-120.202679,90,19.367524
-110.87488,90,19.985291
-115.725473,90,20.866196
-101.862577,90,21.917234
-100.74365,90,23.252537
-108.567507,90,24.496423
-98.592709,90,25.433117
-110.78355,90,26.540449
-113.341895,90,27.714728
-110.904809,90,28.861808
-113.302503,90,30.265744
-114.225491,90,31.383387
-115.517546,90,32.412374
-95.563964,90,33.404223
-112.387609,90,34.642219
-111.804041,90,35.805583
-96.298424,90,36.865956
-116.904309,90,37.885737
-99.858966,90,39.151343
-104.887851,90,39.822722
-104.906149,90,40.72162
-97.303952,90,41.732296
-117.73438,90,42.966057
-118.810645,90,43.861839
-100.937515,90,44.489381
-113.100749,90,45.116914
-120.967223,90,46.207441
-97.72705,90,47.408703
-106.347675,90,48.454781
-95.886916,90,49.499949
-110.408406,90,50.805116
-106.652272,90,51.753716
-98.315957,90,52.804113
-95.098462,90,53.772192
-100.339508,90,54.794984
-102.709659,90,55.996805
-113.588617,90,57.039366
-116.338269,90,58.088779
-101.583072,90,58.797567
-102.797148,90,59.578265
-115.332282,90,60.69277
-95.99451,90,61.718903
-111.509369,90,62.896395
-102.17377,90,64.21496
-110.614979,90,65.282738
-112.773789,90,66.293125
-117.419468,90,67.533083
-114.157091,90,68.582785
-109.583633,90,69.201412
-268.317663,90,69.819173
-115.27711,90,70.863332
-113.703253,90,71.506664
-103.730227,90,72.125227
-104.522254,90,72.74265
-99.983609,90,73.8956
-107.017278,90,75.064089
-113.246754,90,76.151619
-98.557791,90,77.170642
-96.330712,90,78.384622
-98.103526,90,79.499893
-105.122954,90,80.552777
-101.06379,90,81.548146
-106.638336,90,82.746111
-100.81199,90,83.712953
-108.282553,90,84.760995
-109.255272,90,85.767073
-101.634272,90,86.880049
-108.466977,90,88.073157
-387.609021,90,89.164937
-102.340324,90,90.188699
-100.238644,90,91.484067
-104.440511,90,92.458991
-97.248549,90,93.553526
-97.892044,90,94.51657
-102.602432,90,95.684222
-98.202119,90,96.820111
-94.412014,90,97.853091
-105.568077,90,98.871088
-103.891646,90,100.043144
-104.072817,90,100.786001
-162.063727,90,101.404387
-99.247857,90,102.027031
-102.717612,90,103.283955
-104.600618,90,104.396009
-99.365926,90,105.363524
-112.059897,90,106.360756
-98.141444,90,107.570313
-104.84288,90,108.802141
-121.211804,90,109.821921
-105.286006,90,110.859448
-125.367284,90,112.080058
-98.431077,90,113.089779
-104.738358,90,113.936454
-114.120675,90,114.554247
-109.82003,90,115.813938
-101.085816,90,116.727302
-106.711824,90,117.803349
-98.540854,90,118.844879
-123.681671,90,120.079861
-98.961671,90,121.319754
-98.272954,90,122.336006
-95.891753,90,123.205266
-101.030033,90,124.419567
-96.458242,90,125.413466
-98.970144,90,126.472683
-97.576063,90,127.477045
-101.896791,90,128.763173
-121.679558,90,129.773742
-329.687364,90,130.814261
-108.00311,90,131.802327
-96.993938,90,132.938861
-105.991464,90,133.919767
-97.003717,90,134.960133
-106.535054,90,135.578606
-125.01008,90,136.58059
-102.530386,90,137.57494
-116.975269,90,138.193966
-99.911626,90,138.813527
-94.887213,90,139.803628
-99.830489,90,140.733038
-107.785669,90,141.353336
-96.914827,90,141.970779
-100.076999,90,142.836389
-151.568416,90,143.834392
-107.143592,90,144.818069
-111.40379,90,145.788094
-557.011069,90,146.796192
-106.963,90,147.760244
-95.703629,90,148.75999
-116.505611,90,149.742832
-104.229163,90,150.760454
-111.043536,90,151.737599
-110.947027,90,152.7167
-104.72842,90,153.725398
-117.756282,90,154.745604
-96.096114,90,155.726351
-110.865663,90,156.702074
-101.120545,90,157.681742
-98.604564,90,158.687245
-100.497836,90,159.663318
-102.800422,90,160.645896
-100.61455,90,161.631589
-99.808273,90,162.635539
-102.011537,90,163.632493
-99.991117,90,164.51741
-105.134382,90,165.47696
-115.767553,90,166.457182
-95.342703,90,167.428195
-102.570153,90,168.395782
-102.888825,90,169.373368
-106.749648,90,170.369149
-97.475541,90,171.339087
-114.1352,90,172.296658
